epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,74.315,2.9251,0.82832,0,2.67643,3.11294,99.5345,0.33561,0.4704,0.28516,0.09449,0.41668,0.53408,0.3746,0.35233,2.29813,0.93865,0,2.29728,2.63342,0,0.000665301,0.000665301,0.0674003
2,136.151,2.28628,0.59914,0,1.97417,2.50812,18.4165,0.44597,0.48313,0.45268,0.15734,0.49338,0.53063,0.5083,0.47503,2.11876,0.9438,0,2.16693,2.3907,0,0.00130559,0.00130559,0.0347072
3,196.78,2.08027,0.64097,0,1.91111,2.29466,16.1402,0.59245,0.57212,0.58729,0.26003,0.60896,0.61578,0.59477,0.57127,1.86584,0.89548,0,1.71111,2.16165,0,0.00191949,0.00191949,0.00198779
4,257.249,2.03031,0.65569,0,1.8364,2.19905,14.8143,0.62099,0.61163,0.56868,0.25463,0.65637,0.62677,0.60444,0.57685,1.8019,0.90269,0,1.72603,2.06814,0,0.0018812,0.0018812,0.0018812
5,317.851,1.94862,0.61368,0,1.8,2.12065,13.9926,0.6104,0.65836,0.62319,0.27434,0.61368,0.67082,0.64368,0.61146,1.81123,0.90634,0,1.6616,2.01132,0,0.0018416,0.0018416,0.0018416
6,378.381,1.94057,0.61501,0,1.74823,2.10369,14.0836,0.70423,0.62802,0.6292,0.29315,0.70394,0.64694,0.64719,0.6171,1.71463,0.8869,0,1.66113,1.94803,0,0.001802,0.001802,0.001802
7,438.862,1.89083,0.6207,0,1.76885,2.04905,14.2501,0.64115,0.63448,0.6655,0.3193,0.61755,0.65317,0.64028,0.61263,1.67735,0.85743,0,1.49197,1.94658,0,0.0017624,0.0017624,0.0017624
8,499.928,1.87258,0.58583,0,1.68414,2.02035,13.5312,0.69534,0.64071,0.70156,0.32961,0.6805,0.68563,0.70164,0.66894,1.76145,0.87345,0,1.61182,1.98802,0,0.0017228,0.0017228,0.0017228
9,561.969,1.8009,0.56763,0,1.6227,1.96539,13.0999,0.78327,0.70553,0.79089,0.39199,0.78228,0.71651,0.75747,0.7293,1.65105,0.85815,0,1.37882,1.89422,0,0.0016832,0.0016832,0.0016832
10,623.969,1.80358,0.51373,0,1.57047,1.93998,12.4975,0.73251,0.70093,0.72349,0.36163,0.74717,0.70197,0.72107,0.69385,1.67862,0.83235,0,1.44688,1.87975,0,0.0016436,0.0016436,0.0016436
11,685.883,1.78701,0.61089,0,1.57467,1.94727,12.99,0.65937,0.71859,0.67417,0.33334,0.66168,0.70613,0.66014,0.62966,1.60075,0.82239,0,1.41954,1.82139,0,0.001604,0.001604,0.001604
12,747.281,1.75572,0.60913,0,1.52478,1.91717,12.8278,0.7805,0.73848,0.80706,0.43611,0.76034,0.73936,0.76814,0.73542,1.57933,0.83925,0,1.29702,1.83001,0,0.0015644,0.0015644,0.0015644
13,808.302,1.73583,0.58087,0,1.51779,1.90277,13.2801,0.77194,0.7134,0.78953,0.41421,0.76874,0.7318,0.77106,0.73906,1.60031,0.83202,0,1.30372,1.84782,0,0.0015248,0.0015248,0.0015248
14,869.333,1.7275,0.58187,0,1.51889,1.89519,12.6494,0.7704,0.7596,0.7818,0.42445,0.74557,0.7487,0.74561,0.71823,1.55803,0.83085,0,1.34165,1.81111,0,0.0014852,0.0014852,0.0014852
15,930.34,1.6794,0.58573,0,1.46413,1.86759,12.3353,0.8092,0.7134,0.80734,0.45661,0.76785,0.72897,0.771,0.74379,1.51662,0.81674,0,1.28174,1.78324,0,0.0014456,0.0014456,0.0014456
16,991.587,1.69544,0.56772,0,1.44581,1.84853,11.8949,0.82655,0.72897,0.82139,0.46679,0.80905,0.73478,0.79054,0.75832,1.50021,0.83348,0,1.22639,1.75387,0,0.001406,0.001406,0.001406
17,1052.89,1.6666,0.53827,0,1.41165,1.82867,11.5416,0.76367,0.75497,0.77823,0.42924,0.77826,0.72891,0.744,0.71659,1.51338,0.80562,0,1.25543,1.75019,0,0.0013664,0.0013664,0.0013664
18,1113.91,1.6479,0.55853,0,1.3709,1.80774,11.3431,0.8086,0.74141,0.81912,0.47993,0.7783,0.73273,0.77478,0.74849,1.45317,0.81082,0,1.19731,1.72257,0,0.0013268,0.0013268,0.0013268
19,1175.38,1.65023,0.55516,0,1.37068,1.80182,11.4625,0.75438,0.77985,0.76868,0.42343,0.72415,0.76324,0.71437,0.68708,1.49562,0.80903,0,1.24937,1.7324,0,0.0012872,0.0012872,0.0012872
20,1236.87,1.62814,0.51151,0,1.35913,1.79294,11.2172,0.84019,0.79164,0.85642,0.48887,0.80972,0.77674,0.80111,0.77424,1.4524,0.80481,0,1.12108,1.69682,0,0.0012476,0.0012476,0.0012476
