epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,51.9179,2.52947,1.10775,0,2.46887,0.01751,11.8322,0.56609,0.44652,0.47125,0.18701,0.65802,0.57425,0.62982,0.59106,2.24043,1.03727,0,2.0827,0.01648,0,0.000663934,0.000663934,0.0674672
2,104.117,2.20335,0.97392,0,1.83622,0.01405,9.18625,0.68782,0.53998,0.60595,0.28202,0.72573,0.62372,0.68995,0.65741,1.96884,0.99603,0,1.69005,0.01368,0,0.00119887,0.00119887,0.0346688
3,157.409,2.17796,0.93867,0,1.70928,0.01335,8.52738,0.63585,0.6165,0.62854,0.30602,0.67771,0.67601,0.69481,0.66289,2.03702,0.9213,0,1.58469,0.01441,0,0.00160181,0.00160181,0.00173842
4,210.039,2.07697,0.89135,0,1.56194,0.0127,8.07279,0.74021,0.66667,0.71914,0.34357,0.76755,0.72349,0.76745,0.73576,2.03288,0.9133,0,1.47837,0.01402,0,0.001406,0.001406,0.001406
5,261.697,1.98133,0.83033,0,1.4582,0.01172,7.48643,0.82198,0.71442,0.77093,0.39474,0.83271,0.7598,0.80803,0.77467,1.88436,0.89741,0,1.38355,0.01257,0,0.001208,0.001208,0.001208
6,313.346,1.9408,0.86611,0,1.37058,0.01155,7.27501,0.80178,0.69303,0.75702,0.39988,0.81262,0.73624,0.78965,0.75394,1.84502,0.87987,0,1.22416,0.0121,0,0.00101,0.00101,0.00101
7,365.199,1.89892,0.8673,0,1.28511,0.01137,7.0542,0.82487,0.73105,0.79484,0.42739,0.81348,0.77447,0.80169,0.76883,1.79648,0.86077,0,1.10854,0.01214,0,0.000812,0.000812,0.000812
8,417.258,1.81579,0.80897,0,1.19677,0.01057,6.64059,0.8452,0.74455,0.81628,0.44649,0.81901,0.78942,0.81204,0.7815,1.75352,0.86913,0,1.10202,0.01187,0,0.000614,0.000614,0.000614
9,470.723,1.74183,0.81206,0,1.12682,0.01008,6.31772,0.81617,0.77155,0.81976,0.46226,0.83157,0.79958,0.82484,0.79339,1.62564,0.85976,0,1.01528,0.01046,0,0.000416,0.000416,0.000416
10,522.568,1.70001,0.81868,0,1.1113,0.00949,6.02576,0.81929,0.76532,0.82451,0.46931,0.84352,0.80046,0.82288,0.79563,1.61431,0.85246,0,0.9996,0.01024,0,0.000218,0.000218,0.000218
