epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5455,2.40548,0.78964,0,2.3909,0.01438,9.5938,0.54135,0.4704,0.46197,0.18232,0.57961,0.59605,0.57943,0.54859,2.31239,0.96181,0,2.30392,0.01679,0,0.000663934,0.000663934,0.0674672
2,73.2507,2.20135,0.71782,0,1.95324,0.0125,7.56527,0.66451,0.56594,0.61004,0.28243,0.69263,0.59294,0.65062,0.62409,2.04139,0.97668,0,1.56865,0.0145,0,0.00127791,0.00127791,0.0347479
3,97.7863,2.15198,0.70557,0,1.74339,0.01173,7.00998,0.71281,0.62115,0.64965,0.29836,0.71649,0.68756,0.7211,0.69304,1.96223,0.92547,0,1.38597,0.0138,0,0.00183908,0.00183908,0.0019757
4,122.121,2.10269,0.71589,0,1.79106,0.01163,6.51189,0.72093,0.60748,0.68118,0.32728,0.73998,0.63831,0.71479,0.6879,1.82303,0.92176,0,1.56278,0.01225,0,0.0017624,0.0017624,0.0017624
5,146.538,2.02375,0.66878,0,1.69297,0.01073,6.17498,0.77307,0.69055,0.75641,0.37882,0.79175,0.71755,0.76146,0.72952,1.81782,0.89796,0,1.30494,0.01225,0,0.0016832,0.0016832,0.0016832
6,171.024,2.04227,0.63407,0,1.63714,0.0107,5.80201,0.81729,0.66251,0.74419,0.36609,0.813,0.70093,0.77678,0.74535,1.86311,0.87583,0,1.36688,0.0124,0,0.001604,0.001604,0.001604
7,195.504,1.99675,0.62146,0,1.57969,0.0106,5.65078,0.81041,0.66355,0.75951,0.39765,0.81402,0.71359,0.78025,0.74846,1.73725,0.89487,0,1.22144,0.01148,0,0.0015248,0.0015248,0.0015248
8,219.733,1.93459,0.62631,0,1.47156,0.00982,5.32515,0.79938,0.71583,0.77829,0.42933,0.8071,0.73859,0.78242,0.75596,1.72056,0.89218,0,1.19968,0.01148,0,0.0014456,0.0014456,0.0014456
9,243.7,1.92591,0.64636,0,1.46419,0.01003,5.35026,0.77764,0.72897,0.77117,0.41426,0.80977,0.75909,0.78778,0.75331,1.77875,0.87174,0,1.17259,0.012,0,0.0013664,0.0013664,0.0013664
10,267.353,1.92628,0.61272,0,1.43907,0.00984,5.0297,0.79849,0.72421,0.79111,0.43173,0.79176,0.76199,0.80172,0.77255,1.69637,0.86594,0,1.14788,0.01149,0,0.0012872,0.0012872,0.0012872
11,290.3,1.88913,0.60693,0,1.40491,0.0097,4.94754,0.81703,0.75805,0.80127,0.44356,0.83669,0.79958,0.81639,0.78427,1.68567,0.8585,0,1.22001,0.01119,0,0.001208,0.001208,0.001208
12,313.063,1.86377,0.66051,0,1.40457,0.0092,4.76313,0.83454,0.6861,0.78843,0.43609,0.8144,0.73816,0.77822,0.74743,1.67508,0.8649,0,1.11418,0.01141,0,0.0011288,0.0011288,0.0011288
13,335.929,1.81328,0.55911,0,1.34655,0.00938,4.55299,0.84479,0.74247,0.83148,0.47744,0.82175,0.78989,0.81771,0.7839,1.60558,0.85798,0,1.06851,0.01056,0,0.0010496,0.0010496,0.0010496
14,358.777,1.83894,0.54951,0,1.32031,0.00937,4.37235,0.84933,0.75493,0.84044,0.47583,0.85739,0.76164,0.81534,0.78529,1.61161,0.86287,0,1.00908,0.01049,0,0.0009704,0.0009704,0.0009704
